comuna,region,concentracion_ref,concentracion_comb,concentracion_comuna,concentracion_rebote,emision_ref,emision_comb,emision_comuna,emision_rebote,Número de habitantes
Vilcún,Región de La Araucanía,14.0480334972289,11.001586365338037,16.12853944217786,13.163127275741916,2.3759044906708886,2.1128371512928514,3.431833063391155,2.872167257652051,28151
Los Lagos,Región de Los Ríos,17.49577325128891,10.896705721576321,15.522052878676682,14.39886713955736,2.603008825353516,0.7742310103868246,1.8305158532839676,1.624534204408199,19634
Hualqui,Región del Bío-Bío,20.560378830658728,17.369438710980063,21.04550106399828,17.967290260576842,0.8161703406921657,0.7268448727721479,0.8530836410804864,0.7268789833204479,24333
Río Negro,Región de Los Lagos,33.15501784274134,14.423898508318164,19.754191705519865,25.53219760355101,4.444078864394828,1.1263364549123196,2.551787393652943,4.117803990627414,14085
Melipilla,Región Metropolitana de Santiago,15.830460433217162,15.806765413726156,16.098827561909804,15.881719802454842,1.306978033065588,1.0205268387249042,1.0219075994093418,1.0208226787935903,123627
Mulchén,Región del Bío-Bío,15.522889533215588,9.651857073664502,13.97643992730343,10.500376737181494,3.3125769894197594,1.8876223727587211,3.5339341682157133,2.1808644656878613,29627
Colbún,Región del Maule,3.312591276806975,2.949066741013767,3.642157322551015,3.038872381925683,0.4353919263149624,0.2478119117015432,0.5866907210302053,0.2832330043509607,20765
Catemu,Región de Valparaíso,5.840183181418177,2.381962377326298,2.4687300084907204,2.4018294168980336,0.18108125842563166,0.005144969910446093,0.005144969910446093,0.005144969910446093,13998
Mariquina,Región de Los Ríos,26.561997718843372,15.548518777387144,23.247297451067848,21.698258422174707,2.667880257042888,1.5359622821477452,3.075702208929507,3.1311770904764953,21278
Quilleco,Región del Bío-Bío,8.244868168079607,7.173646845512393,9.049461641126596,7.2794129903250955,0.8530835495983621,0.86694304551259,1.2795715027701973,0.8671630660573666,9587
Los Angeles,Región del Bío-Bío,27.912182403863408,14.021656079581986,18.498260973582635,14.676705536319638,6.492197973809649,1.4341251875569498,2.2221426380647853,1.4760060549170324,202331
Valdivia,Región de Los Ríos,54.59076956287919,19.915545605922624,24.420825957678453,29.86039204338382,14.267842863925383,3.305981799945415,3.7599284614738586,6.976065636249936,166080
San Juan de la Costa,Región de Los Lagos,17.748396259007972,13.464841354797905,15.569610459206833,21.044470465667544,1.2784345612608932,0.7114182533477159,0.8856118198071571,2.5978405778522324,7512
Casablanca,Región de Valparaíso,7.0704926745938845,8.950427741643955,9.285405423527777,9.025051022143073,0.17123620282655458,0.10872361755965525,0.10872361755965525,0.10872361755965525,26867
Frutillar,Región de Los Lagos,27.888081783544873,12.195348900320354,18.618218784946713,18.960514240343997,2.09917337599553,0.3882120208686918,1.9405672243446417,1.4186108070284638,18428
Curicó,Región del Maule,5.855184561506348,4.741556261374623,5.448168733501235,4.894878328162408,0.4289870062319174,0.24434638792949653,0.4021830157126285,0.27804924213031407,149136
Chiguayante,Región del Bío-Bío,32.64928312623257,19.42712561592419,22.36689971484429,19.906583269082603,0.6233704191947412,0.21110465374111928,0.22693874344781115,0.21111418748686167,85938
Curarrehue,Región de La Araucanía,7.501523244230803,6.866869040258424,9.712381212475263,7.7820147283686385,0.7009922034845669,0.38197834494732275,0.9149794596626889,0.5374067462513832,7489
San Esteban,Región de Valparaíso,1.2509937672360003,1.172349836317189,1.1937995525675398,1.1774296632430234,0.3301828120656511,0.005220904572660469,0.005220904572660469,0.005220904572660469,18855
Laja,Región del Bío-Bío,26.29346571597411,13.647106313918991,18.904798989419383,14.538087453013944,0.7067473051567247,0.3030334097109305,0.4440816493533871,0.3030475347863438,22389
