day,comuna,region,avg_emision_ref,stddev_emision_ref,avg_emision_comb,stddev_emision_comb,avg_emision_comuna,stddev_emision_comuna,avg_emision_rebote,stddev_emision_rebote,avg_concentracion_ref,stddev_concentracion_ref,avg_concentracion_comb,stddev_concentracion_comb,avg_concentracion_comuna,stddev_concentracion_comuna,avg_concentracion_rebote,stddev_concentracion_rebote
5,Rengo,Región del Libertador Bernardo O'Higgins,0.29719266447988235,0.00439368102171359,0.17170220708974662,0.0025384329468832664,0.17337460269831972,0.002563157972173689,0.1797824659202643,0.0026578908930129396,5.630962713988839,0.6335584754019133,5.558230722360224,0.9637664101422636,5.6473177465546796,0.9855544838961514,5.650705977502616,0.9689714182962172
2,Requínoa,Región del Libertador Bernardo O'Higgins,0.41475313209953646,0.006246996945757999,0.23276790737400874,0.0035114588422673326,0.2330885981138514,0.0035162999506349567,0.24359115809720092,0.0036749576126938748,5.543822783257003,0.7167978051369907,5.811523155618039,0.9916650006343132,5.880278063169192,1.0169814794468082,5.904942559828879,0.9979196204164993
4,Requínoa,Región del Libertador Bernardo O'Higgins,0.4056257888667121,0.005806322848619909,0.2276451226291849,0.003264486315949794,0.22795900548974804,0.0032689964190145354,0.2382362053653855,0.0034166157141602782,5.55400129788886,0.6124706898002192,6.1036673156368995,1.0102434234780941,6.203910329262754,1.0610324641530364,6.206724959123988,1.0241233892872086
1,Requínoa,Región del Libertador Bernardo O'Higgins,0.4037063537120507,0.005256992094910749,0.22681658735004756,0.0029535650933488534,0.2271295857681878,0.002957640781109167,0.23737661883617045,0.003091076147799556,5.462400605923637,0.9240666788120271,5.726086284621173,1.454672253047247,5.8076469711404926,1.5141531330434577,5.826234021603167,1.4700263355882717
5,Requínoa,Región del Libertador Bernardo O'Higgins,0.40276618518410007,0.005954463640278941,0.22643063408227498,0.003347590870538172,0.22674287862566736,0.003352207358978303,0.23696894738104696,0.0035033909280478286,5.570729331828721,0.5570637228290228,5.907068096794166,1.097085735648244,5.970504321919073,1.1160252183678743,5.998842475462675,1.0995742320991853
3,Requínoa,Región del Libertador Bernardo O'Higgins,0.414277665418596,0.0064228004069980865,0.23232690010398382,0.003601906152010856,0.23264702061337506,0.00360686929148429,0.24312941847163164,0.0037693840501875514,5.623477173917666,0.861377543810743,5.878963595077117,1.197581857828542,5.961619285413827,1.2146050340399788,5.979456401190034,1.200557462464009
6,Requínoa,Región del Libertador Bernardo O'Higgins,0.40995293873864386,0.00587600022940465,0.23061551190588517,0.003302207529246541,0.23093377926567346,0.0033067684359551434,0.24135284501767132,0.0034560721515358587,5.3357087382723325,0.8545837161886493,5.805575753089781,1.047558150340863,5.872576986154167,1.0594375607569844,5.906556670614046,1.0596170390938453
7,Requínoa,Región del Libertador Bernardo O'Higgins,0.4131187525816291,0.006076719053469451,0.2323494674089013,0.003420049559872681,0.23267030928137872,0.0034247791284224313,0.24317324652537148,0.0035795580650864293,5.3062117499553265,0.57465050829909,5.571366471141604,0.8240738947915047,5.648704847266889,0.8679907731552414,5.669124885984613,0.8400077222427292
2,Retiro,Región del Maule,0.717116160827971,0.010845214086676163,0.27943946768543837,0.004237564736257348,0.6875613323610228,0.010398210212903118,0.31943506735249944,0.004841939659703787,20.44534511795674,4.2246902145071346,9.196599237847844,1.352582813468892,14.289293485254056,2.664275055863486,9.78236550692713,1.4837951356777375
3,Retiro,Región del Maule,0.7162079164603035,0.011103808935948234,0.27877457418815754,0.004322067856420389,0.6861921956845375,0.010638604164068803,0.31869644468854386,0.004941009285984464,18.731468184025037,5.8439725657808745,8.481072900019601,1.7588831103109226,13.21116321795081,3.3484058192122927,8.988755423729286,1.891992271758182
5,Retiro,Región del Maule,0.6982143327209382,0.010322345514087892,0.2720820109125892,0.0040225933718455046,0.6694607716844635,0.009897612697606964,0.31102688616522706,0.004598371503364699,17.590801749653714,5.790509772534339,7.946048988078298,1.788751045585458,12.33932020491347,3.323534504029167,8.428059974596614,1.949695153974029
4,Retiro,Región del Maule,0.7022343450221519,0.010076616969336392,0.2731924653143818,0.003916416044488709,0.6726843069625514,0.009658008146049186,0.31233445295785445,0.004478548057070099,19.802116191080316,5.8313500934551215,8.597091820785117,1.6976800242754304,13.11278293291509,2.6820544690833668,9.085470781635573,1.7716292507640719
6,Retiro,Región del Maule,0.7112193395215708,0.01018344357963804,0.27663913735983364,0.003960773069511877,0.68171104502796,0.009767343336951437,0.3163173885389299,0.004529260062095958,18.229495167635807,4.714248547962841,7.744172287667522,1.402478914006323,12.291588216619907,2.235307106653453,8.238346903030855,1.4741913432655203
1,Retiro,Región del Maule,0.7002799799645679,0.009118922022826995,0.2722396658644278,0.0035450561301989623,0.6706216636934237,0.008732715297017553,0.3112689509256234,0.004053288558229471,20.81793771970736,4.512527263346773,8.83445364031874,1.3017814878853493,13.829251030473493,2.370132174083793,9.42362305045554,1.4115498065751317
7,Retiro,Región del Maule,0.7176530266801456,0.010587462809081518,0.2788988363138247,0.0041054916211351895,0.6872723838335101,0.01012609993160948,0.31890312122122266,0.004695142043857611,19.03493007509416,5.414171654668868,8.30714135572567,1.937543788017671,13.182025588699508,3.70161976166366,8.835392148471666,2.095627228151801
