comuna,region,concentracion_ref,concentracion_comuna,concentracion_comb,concentracion_rebote,emision_ref,emision_comuna,emision_comb,emision_rebote
Tomé,Región del Bío-Bío,19.151946581642957,20.98556354556847,17.58890001227298,18.03436486152731,0.8912099105765552,1.0823588797312496,0.8877236284845578,0.887762492564405
San Ignacio,Región de Ñuble,23.10760131486353,15.741771563440748,12.710802625711874,12.850123934668366,1.362217043045471,0.7524326635770645,0.565748609964394,0.5657888815268489
Tirúa,Región del Bío-Bío,11.420734589791161,14.519224244529434,11.524978458866467,12.73016756189289,0.22149209349363638,0.22791662250592773,0.11692588612086317,0.1386314616533853
Valparaíso,Región de Valparaíso,9.97265776292156,8.732388666589324,8.356590487039815,8.44065665108774,0.173400334940497,0.005304267768317108,0.005304267768317108,0.005304267768317108
Tucapel,Región del Bío-Bío,6.682078390597269,7.789752558632308,6.264172100536272,6.3237522027608675,1.462984217602572,1.1264870223255041,0.763408277159456,0.7634431925677498
Paine,Región Metropolitana de Santiago,15.891685929685037,16.56117089078036,16.461254397210016,16.512452589391305,2.321905268123421,1.5100514717392557,1.5100179300541705,1.5120901415556969
Alto Biobío,Región del Bío-Bío,4.216539079364575,4.518868134681526,4.13019806459398,4.205914940382909,0.19504474366297248,0.06019477271013333,0.0316912112099845,0.03697244451251286
Constitución,Región del Maule,9.064173552051626,9.660144722814525,7.932799389722546,8.240449770063618,0.601179839776516,0.3360940881325801,0.13979738881581616,0.1598323302531997
Río Claro,Región del Maule,8.659162903823432,5.1057981341262835,4.030875434824975,4.224256336229657,0.23561282465228658,0.12746066593059194,0.0657596511881637,0.07507364719815444
Litueche,Región del Libertador Bernardo O'Higgins,7.911526278882936,7.2122712053884115,6.278285970227869,6.438768285060607,0.07107337171708014,0.04740926437163749,0.030394073606746508,0.031698417379817656
Peralillo,Región del Libertador Bernardo O'Higgins,10.494865792499025,8.264248719722655,6.734022218537864,6.968525804055558,0.07554591372376775,0.07943641241766265,0.053089949501071924,0.055641451487181484
Osorno,Región de Los Lagos,70.02470506819185,22.656100200895835,18.46979519633033,41.083342407741576,20.759581430597603,2.5194006656183126,2.1040079369516254,7.686607628713902
Paredones,Región del Libertador Bernardo O'Higgins,8.750186445438963,7.86744882092118,6.406239814905942,6.633857446007853,0.08742835345732672,0.08396488822608181,0.04786002283219918,0.05057009858831449
Quirihue,Región de Ñuble,14.480213252197197,16.488977041464967,12.703958653873087,13.131878606555599,0.9013887178495962,0.7649238234369848,0.5101580838010492,0.5124858049306439
Lumaco,Región de La Araucanía,15.888153505038295,19.043005118184208,12.393970998084717,14.571715793876075,0.8688826075571622,1.4475210161199603,0.6231305730660058,0.8302809228704373
Alhué,Región Metropolitana de Santiago,5.811226425947322,13.627618743288368,13.369354176856255,13.511510644601143,0.23554090234419012,0.5786083668992915,0.5754258233126931,0.5818266460741386
Frutillar,Región de Los Lagos,27.88808178354487,18.618218784946716,12.195348900320356,18.960514240343997,2.0991733759955298,1.9405672243446417,0.3882120208686918,1.418610807028464
Quilpué,Región de Valparaíso,7.835528379102172,11.543687544023145,11.315716849725597,11.367899230276489,0.21111150885720228,0.18936743908561868,0.18936743908561868,0.18936743908561868
Talagante,Región Metropolitana de Santiago,53.428921246642005,21.089808887417927,20.952952668619638,20.992562673455847,1.2383751091241921,0.3529029135040678,0.3529029135040678,0.3529553809787787
Hualañé,Región del Maule,9.969553380591247,7.555062377871342,5.835968481888793,6.120430962112161,0.06908267482211027,0.08439690305814762,0.040927549537813954,0.04566116237548786
Quinchao,Región de Los Lagos,15.832760505981389,14.29421814649351,11.361807217141466,13.61012819612389,0.15728027969860278,0.16014055185937645,0.03171292347881525,0.11605891498705383
Quillón,Región de Ñuble,24.329078085617063,23.674185686570077,17.90325021632016,18.44452074910866,0.7696491459983718,0.9256556677343243,0.653326980392711,0.653372432470179
Nacimiento,Región del Bío-Bío,16.798917279777136,18.11807251716304,13.12063320155516,14.214478279321217,0.8678349940935955,0.7422540922632707,0.44765311721523965,0.48050484247431885
Padre Hurtado,Región Metropolitana de Santiago,30.831695598939426,19.64493318570669,19.519627514087336,19.550478479636727,0.4740422548990336,0.2709204417531771,0.2709204417531771,0.2709204417531771
